"meta_name","beta","pv","inf_flag","pv_adj_FWER","pv_adj_FDR","abs_beta"
"s125",0.488245769646455,0.00483591090576977,0,0.749566190394314,0.493009423213526,0.488245769646455
"s43",-0.391187705947236,0.00984192139277937,0,1,0.493009423213526,0.391187705947236
"s280",-0.269778879835667,0.0114234596241071,0,1,0.493009423213526,0.269778879835667
"s45",-0.448498351413857,0.0141347544593347,0,1,0.493009423213526,0.448498351413857
"s159",-0.410225683407795,0.0173433067294014,0,1,0.493009423213526,0.410225683407795
"s231",-0.591415451555284,0.0190842357372978,0,1,0.493009423213526,0.591415451555284
"s213",-0.663210228768498,0.0293476715482019,0,1,0.494571866733179,0.663210228768498
"s286",0.276071150932821,0.0302280242188173,0,1,0.494571866733179,0.276071150932821
"s453",-0.336311996462463,0.0325616767259908,0,1,0.494571866733179,0.336311996462463
"s3",-0.33035088752921,0.0375063301469799,0,1,0.494571866733179,0.33035088752921
"s36",-0.427718062790073,0.0388597140632323,0,1,0.494571866733179,0.427718062790073
"s65",-0.367297842860649,0.0409313318817336,0,1,0.494571866733179,0.367297842860649
"s143",-0.365669294783122,0.0445675790124971,0,1,0.494571866733179,0.365669294783122
"s323",0.197382271861033,0.0463570836432296,0,1,0.494571866733179,0.197382271861033
"s246",-0.360415223804802,0.0478617935548238,0,1,0.494571866733179,0.360415223804802
"s175",0.224481266348468,0.0556808264456249,0,1,0.539408006191991,0.224481266348468
"s177",-0.343784944078353,0.0622376762536937,0,1,0.567461165842501,0.343784944078353
"s74",0.193377161806477,0.0825443050619224,0,1,0.640579382473576,0.193377161806477
"s27",0.28882476104873,0.0855792422849517,0,1,0.640579382473576,0.28882476104873
"s31",-0.228701930316001,0.0868447697674156,0,1,0.640579382473576,0.228701930316001
"s234",-0.244416865400019,0.0958110289682593,0,1,0.640579382473576,0.244416865400019
"s68",-0.318264412721639,0.097864325340495,0,1,0.640579382473576,0.318264412721639
"s414",-0.215505795676528,0.109344678328635,0,1,0.640579382473576,0.215505795676528
"s16",-0.242426813690051,0.109625153900168,0,1,0.640579382473576,0.242426813690051
"s145",0.167900497147793,0.114358837776414,0,1,0.640579382473576,0.167900497147793
"s165",0.164444847121926,0.114816788676085,0,1,0.640579382473576,0.164444847121926
"s42",0.127064746030015,0.116183559825394,0,1,0.640579382473576,0.127064746030015
"s232",-0.276564284561422,0.116402978726615,0,1,0.640579382473576,0.276564284561422
"s30",-0.236422140379694,0.120251901186335,0,1,0.640579382473576,0.236422140379694
"s142",-0.262624327803169,0.127333058485181,0,1,0.640579382473576,0.262624327803169
"s25",0.207753551459875,0.128325055461121,0,1,0.640579382473576,0.207753551459875
"s137",-0.229565359711567,0.134979702198823,0,1,0.640579382473576,0.229565359711567
"s230",-0.221655603355034,0.142097496162205,0,1,0.640579382473576,0.221655603355034
"s150",0.146633927561656,0.143928435691641,0,1,0.640579382473576,0.146633927561656
"s84",-0.264361847027599,0.144646957332743,0,1,0.640579382473576,0.264361847027599
"s17",-0.27674090044247,0.154293450359789,0,1,0.655948326967686,0.27674090044247
"s239",-0.278817316891915,0.158920512472847,0,1,0.655948326967686,0.278817316891915
"s189",-0.299362016947959,0.160813138224336,0,1,0.655948326967686,0.299362016947959
"s90",0.143543657447455,0.170216648154547,0,1,0.67628099484234,0.143543657447455
"s73",-0.154591335242903,0.174524127701249,0,1,0.67628099484234,0.154591335242903
"s106",-0.182384567356884,0.179779723791822,0,1,0.679655053359327,0.182384567356884
"s130",0.207235422055513,0.195004566145923,0,1,0.719659708395668,0.207235422055513
"s140",-0.191286798103124,0.20551443238083,0,1,0.730019199702859,0.191286798103124
"s413",-0.404239502441254,0.212943018467714,0,1,0.730019199702859,0.404239502441254
"s35",-0.196191637657552,0.224834148635434,0,1,0.730019199702859,0.196191637657552
"s243",-0.401748344687872,0.229969611737518,0,1,0.730019199702859,0.401748344687872
"s104",-0.187159047421068,0.23395532369525,0,1,0.730019199702859,0.187159047421068
"s154",-0.148649399173019,0.237208095365611,0,1,0.730019199702859,0.148649399173019
"s113",-0.129465319306273,0.237513417354769,0,1,0.730019199702859,0.129465319306273
"s152",0.102088373755464,0.246846775527715,0,1,0.730019199702859,0.102088373755464
"s238",-0.238348769080101,0.255002349172691,0,1,0.730019199702859,0.238348769080101
"s129",0.0928530996098529,0.261479485263186,0,1,0.730019199702859,0.0928530996098529
"s103",-0.198443689522507,0.26273079998644,0,1,0.730019199702859,0.198443689522507
"s141",-0.161141034131283,0.269425141169941,0,1,0.730019199702859,0.161141034131283
"s224",-0.189927862795885,0.270301196262434,0,1,0.730019199702859,0.189927862795885
"s201",0.16839238341347,0.273253937372896,0,1,0.730019199702859,0.16839238341347
"s117",0.155786660568573,0.27499653506354,0,1,0.730019199702859,0.155786660568573
"s61",0.138439680366009,0.276951230654216,0,1,0.730019199702859,0.138439680366009
"s77",-0.185956140898412,0.277878276015927,0,1,0.730019199702859,0.185956140898412
"s66",-0.140068966020834,0.28902033397449,0,1,0.742803201755897,0.140068966020834
"s83",-0.146643198816798,0.292758433406306,0,1,0.742803201755897,0.146643198816798
"s434",0.109478763464519,0.304995290904197,0,1,0.742803201755897,0.109478763464519
"s69",-0.149978674963787,0.309473597980998,0,1,0.742803201755897,0.149978674963787
"s63",0.166150242722437,0.309706211861621,0,1,0.742803201755897,0.166150242722437
"s72",0.138782970227244,0.311498116865376,0,1,0.742803201755897,0.138782970227244
"s56",0.109542031260605,0.325047469301365,0,1,0.753553902983987,0.109542031260605
"s101",-0.136363475986527,0.325729751612433,0,1,0.753553902983987,0.136363475986527
