X,Y,b1_est,b1_pv,b2_est,b2_pv,X_clean,Y_clean,name.x,phylum.x,name.y,phylum.y,source,b1_pv_FDR,b2_pv_FDR
s323,s24,0.055714328,0.04632918,0.011116238,0.731949357,s323,s24,s__Roseburia_intestinalis,Firmicutes,s__Ruthenibacterium_lactatiformans,Firmicutes,species,0.112711497,0.973492645
s175,s61,-0.116254922,0.000155518,0.009961727,0.750237836,s175,s61,s__Phocaeicola_vulgatus,Bacteroidetes,s__Alistipes_onderdonkii,Bacteroidetes,species,0.001216697,0.981502319
s68,s82,0.006407282,0.839926077,-0.009884447,0.752731102,s68,s82,s__Romboutsia_timonensis,Firmicutes,s__Clostridium_leptum,Firmicutes,species,0.898003575,0.981502319
s68,s12,-0.083395215,0.002657447,-0.009034044,0.772702002,s68,s12,s__Romboutsia_timonensis,Firmicutes,s__Blautia_massiliensis,Firmicutes,species,0.011401304,0.989275773
s152,s83,-0.125457641,0.000169729,-0.00835521,0.782736829,s152,s83,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Odoribacter_splanchnicus,Bacteroidetes,species,0.00125411,0.989275773
s42,s47,-0.039450009,0.169945797,0.007057428,0.797415344,s42,s47,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Bacteroides_uniformis,Bacteroidetes,species,0.29354274,0.989275773
s323,s47,-0.013335004,0.633790158,-0.006748242,0.805876848,s323,s47,s__Roseburia_intestinalis,Firmicutes,s__Bacteroides_uniformis,Bacteroidetes,species,0.732992096,0.989275773
s68,s83,0.076819082,0.014203109,0.007523851,0.806133519,s68,s83,s__Romboutsia_timonensis,Firmicutes,s__Odoribacter_splanchnicus,Bacteroidetes,species,0.043930546,0.989275773
s106,s35,-0.022106945,0.415135287,-0.006954549,0.809890907,s106,s35,s__Actinomyces_sp_ICM58,Actinobacteria,s__Oscillibacter_sp_ER4,Firmicutes,species,0.541303854,0.989275773
s42,s75,-0.025544771,0.375340335,-0.00674221,0.81824274,s42,s75,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Dysosmobacter_welbionis,Firmicutes,species,0.509390455,0.989275773
s175,s71,-0.116991099,0.000296506,-0.007115439,0.819561211,s175,s71,s__Phocaeicola_vulgatus,Bacteroidetes,s__Dysosmobacter_sp_BX15,Firmicutes,species,0.001714577,0.989275773
s68,s71,0.137764394,8.82E-06,0.006517495,0.825896921,s68,s71,s__Romboutsia_timonensis,Firmicutes,s__Dysosmobacter_sp_BX15,Firmicutes,species,0.000112088,0.989275773
s175,s35,-0.085936049,0.003496264,-0.006392937,0.833074335,s175,s35,s__Phocaeicola_vulgatus,Bacteroidetes,s__Oscillibacter_sp_ER4,Firmicutes,species,0.014531348,0.989275773
s106,s96,0.016285286,0.573734073,-0.005750735,0.842095322,s106,s96,s__Actinomyces_sp_ICM58,Actinobacteria,s__Parabacteroides_distasonis,Bacteroidetes,species,0.669356418,0.990080523
s323,s88,-0.02371699,0.399403771,-0.005212812,0.860469071,s323,s88,s__Roseburia_intestinalis,Firmicutes,s__Parabacteroides_merdae,Bacteroidetes,species,0.531207016,0.990080523
s152,s47,-0.125049129,0.000253262,-0.004782846,0.86742377,s152,s47,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Bacteroides_uniformis,Bacteroidetes,species,0.001603993,0.990080523
s175,s150,-0.037854976,0.249740726,0.004962814,0.868659902,s175,s150,s__Phocaeicola_vulgatus,Bacteroidetes,s__Anaerotignum_faecicola,Firmicutes,species,0.373208052,0.990080523
s50,s234,0.005969567,0.828129144,-0.004586949,0.885199166,s50,s234,s__Clostridium_fessum,Firmicutes,s__GGB9602_SGB15031,Firmicutes,species,0.895456717,0.990080523
