X,Y,b1_est,b1_pv,b2_est,b2_pv,X_clean,Y_clean,name.x,phylum.x,name.y,phylum.y,source,b1_pv_FDR,b2_pv_FDR
bac_g114,bac_g179,-0.106153907,9.92E-07,-0.109746307,1.84E-06,g114,g179,16S_g__Lachnoclostridium,Firmicutes,16S_g__Marvinbryantia,Firmicutes,16S,2.97E-05,2.37E-05
bac_g114,bac_g2,0.132262757,2.20E-09,0.102775723,2.24E-06,g114,g2,16S_g__Lachnoclostridium,Firmicutes,16S_g__Anaerostipes,Firmicutes,16S,1.98E-07,2.52E-05
bac_g68,bac_g17,0.046635515,0.021214288,0.093901715,2.03E-05,g68,g17,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__UCG-005,Firmicutes,16S,0.054551026,0.000178215
bac_g114,bac_g39,-0.070163467,0.001130478,-0.095323042,2.11E-05,g114,g39,16S_g__Lachnoclostridium,Firmicutes,16S_g__Family_XIII_AD3011_group,Firmicutes,16S,0.007826389,0.000178215
bac_g68,bac_g28,0.013362386,0.507915129,0.093759992,2.18E-05,g68,g28,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__UCG-002,Firmicutes,16S,0.64383608,0.000178215
bac_g183,bac_g179,-0.035939556,0.054725318,-0.088724676,7.24E-05,g183,g179,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Marvinbryantia,Firmicutes,16S,0.104793163,0.000542984
bac_g183,bac_g45,-0.040120334,0.028256791,-0.087888568,0.000115797,g183,g45,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__Christensenellaceae_R-7_group,Firmicutes,16S,0.06692398,0.000801672
bac_g114,bac_g207,-0.076313404,0.000857884,-0.084239187,0.000143824,g114,g207,16S_g__Lachnoclostridium,Firmicutes,16S_g__UCG-003,Firmicutes,16S,0.007019049,0.000924582
bac_g114,bac_g143,-0.034650992,0.088459724,-0.08522853,0.000174783,g114,g143,16S_g__Lachnoclostridium,Firmicutes,16S_g__UCG-010,Firmicutes,16S,0.153103369,0.000984567
bac_g114,bac_g69,-0.087665188,9.57E-06,-0.082589034,0.000175034,g114,g69,16S_g__Lachnoclostridium,Firmicutes,16S_g__Collinsella,Actinobacteriota,16S,0.000215214,0.000984567
bac_g68,bac_g39,0.073250025,0.000285114,0.077948727,0.00023574,g68,g39,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Family_XIII_AD3011_group,Firmicutes,16S,0.00256603,0.001248036
bac_g183,bac_g28,-0.027438433,0.135342602,-0.082355237,0.000269036,g183,g28,16S_g__Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,16S_g__UCG-002,Firmicutes,16S,0.225571003,0.00134518
bac_g68,bac_g72,0.026535321,0.153117125,0.075471271,0.000370745,g68,g72,16S_g__[Eubacterium]_siraeum_group,Firmicutes,16S_g__Barnesiella,Bacteroidota,16S,0.241763881,0.001756159
