"meta_name","beta","pv","inf_flag","pv_adj_FWER","pv_adj_FDR","abs_beta"
"s152",0.810008502373514,4.89306780464576e-05,0,0.00758425509720093,0.00758425509720093,0.810008502373514
"s110",0.34935946926614,0.000991450876113192,0,0.153674885797545,0.0768374428987724,0.34935946926614
"s106",-0.451081965543251,0.00195672379354213,0,0.30329218799903,0.101097395999677,0.451081965543251
"s148",0.333375724004715,0.00957334546928398,0,1,0.370967136934754,0.333375724004715
"s68",-0.493458555917998,0.0128224695291497,0,1,0.397496555403641,0.493458555917998
"s39",0.387273407704821,0.0283393195599565,0,1,0.706771741786404,0.387273407704821
"s33",0.341719375332259,0.0357362119687499,0,1,0.706771741786404,0.341719375332259
"s129",0.257828613628168,0.0408093605989926,0,1,0.706771741786404,0.257828613628168
"s165",0.196773724260982,0.0454157257995332,0,1,0.706771741786404,0.196773724260982
"s76",0.193782391905065,0.0455981768894454,0,1,0.706771741786404,0.193782391905065
"s93",0.257798831480922,0.0515383967621759,0,1,0.726222863467024,0.257798831480922
"s282",-0.499982747515507,0.0749019553079145,0,1,0.879410280343619,0.499982747515507
"s160",-0.329062972437646,0.0776342010859913,0,1,0.879410280343619,0.329062972437646
"s154",-1.90333100259546,0.0931061246999667,0,1,0.879410280343619,1.90333100259546
"s36",-0.292940844403693,0.100925427736529,0,1,0.879410280343619,0.292940844403693
"s21",0.290541525324586,0.104707641046396,0,1,0.879410280343619,0.290541525324586
"s98",-0.43413763379201,0.119282281336751,0,1,0.879410280343619,0.43413763379201
"s224",-0.250243605053465,0.14461076587982,0,1,0.879410280343619,0.250243605053465
"s34",-0.263173896732852,0.152093235906625,0,1,0.879410280343619,0.263173896732852
"s25",0.235175702868591,0.153491920938444,0,1,0.879410280343619,0.235175702868591
"s65",-0.846397608612672,0.153984854183207,0,1,0.879410280343619,0.846397608612672
"s142",0.174604281609599,0.154954233751725,0,1,0.879410280343619,0.174604281609599
"s72",0.221304386694423,0.156345088513281,0,1,0.879410280343619,0.221304386694423
"s267",0.180390827390381,0.157573613076727,0,1,0.879410280343619,0.180390827390381
"s4",-0.279683367838297,0.160793016190736,0,1,0.879410280343619,0.279683367838297
"s238",0.128408021723774,0.163139495889877,0,1,0.879410280343619,0.128408021723774
"s70",0.203383755502659,0.163396938154171,0,1,0.879410280343619,0.203383755502659
"s60",-0.2748537338596,0.176663678941325,0,1,0.879410280343619,0.2748537338596
"s30",-0.241535893873977,0.193447270916725,0,1,0.879410280343619,0.241535893873977
"s29",0.163838981084584,0.196257476313791,0,1,0.879410280343619,0.163838981084584
"s114",-0.26548922525715,0.197113601950209,0,1,0.879410280343619,0.26548922525715
"s63",0.186056899594338,0.203734986762511,0,1,0.879410280343619,0.186056899594338
"s26",0.143359323226413,0.205328758927146,0,1,0.879410280343619,0.143359323226413
"s10",-0.205733139703368,0.212550672795348,0,1,0.879410280343619,0.205733139703368
"s38",-0.181410204069437,0.21800321586595,0,1,0.879410280343619,0.181410204069437
"s57",-0.16938077325311,0.220549629993572,0,1,0.879410280343619,0.16938077325311
"s104",-0.493183682245957,0.224561649531264,0,1,0.879410280343619,0.493183682245957
"s95",-0.198208728178407,0.22947745231012,0,1,0.879410280343619,0.198208728178407
"s19",0.332613971635637,0.229495861444242,0,1,0.879410280343619,0.332613971635637
"s43",-0.203850024251466,0.23107414660309,0,1,0.879410280343619,0.203850024251466
"s2",-0.275051142167992,0.232618203187667,0,1,0.879410280343619,0.275051142167992
"s138",-0.297807213200137,0.271695229397673,0,1,0.965826271194091,0.297807213200137
"s52",0.187521420172064,0.280386223630883,0,1,0.965826271194091,0.187521420172064
