"outcome","ft_type","seed_val","fpr","sens"
"Combined_vs_NP","Baseline",505,0.108,0.2336
"Combined_vs_NP","Baseline",505,0.109,0.236341666666667
"Combined_vs_NP","Baseline",505,0.11,0.241666666666667
"Combined_vs_NP","Baseline",505,0.111,0.241666666666667
"Combined_vs_NP","Baseline",505,0.112,0.241666666666667
"Combined_vs_NP","Baseline",505,0.113,0.245833333333333
"Combined_vs_NP","Baseline",505,0.114,0.245833333333333
"Combined_vs_NP","Baseline",505,0.115,0.245833333333333
"Combined_vs_NP","Baseline",505,0.116,0.25
"Combined_vs_NP","Baseline",505,0.117,0.25
"Combined_vs_NP","Baseline",505,0.118,0.25
"Combined_vs_NP","Baseline",505,0.119,0.25
"Combined_vs_NP","Baseline",505,0.12,0.25
"Combined_vs_NP","Baseline",505,0.121,0.254166666666667
"Combined_vs_NP","Baseline",505,0.122,0.259483333333333
"Combined_vs_NP","Baseline",505,0.123,0.262225
"Combined_vs_NP","Baseline",505,0.124,0.269133333333333
"Combined_vs_NP","Baseline",505,0.125,0.270833333333333
"Combined_vs_NP","Baseline",505,0.126,0.270833333333333
"Combined_vs_NP","Baseline",505,0.127,0.275
"Combined_vs_NP","Baseline",505,0.128,0.279166666666667
"Combined_vs_NP","Baseline",505,0.129,0.279166666666667
"Combined_vs_NP","Baseline",505,0.13,0.279166666666667
"Combined_vs_NP","Baseline",505,0.131,0.279166666666667
"Combined_vs_NP","Baseline",505,0.132,0.279166666666667
"Combined_vs_NP","Baseline",505,0.133,0.279166666666667
"Combined_vs_NP","Baseline",505,0.134,0.279166666666667
"Combined_vs_NP","Baseline",505,0.135,0.279166666666667
"Combined_vs_NP","Baseline",505,0.136,0.2875
"Combined_vs_NP","Baseline",505,0.137,0.2875
"Combined_vs_NP","Baseline",505,0.138,0.2875
"Combined_vs_NP","Baseline",505,0.139,0.2884625
"Combined_vs_NP","Baseline",505,0.14,0.289833333333333
"Combined_vs_NP","Baseline",505,0.141,0.291204166666667
"Combined_vs_NP","Baseline",505,0.142,0.291666666666667
"Combined_vs_NP","Baseline",505,0.143,0.2918625
"Combined_vs_NP","Baseline",505,0.144,0.293233333333333
"Combined_vs_NP","Baseline",505,0.145,0.294604166666667
"Combined_vs_NP","Baseline",505,0.146,0.3
"Combined_vs_NP","Baseline",505,0.147,0.3
"Combined_vs_NP","Baseline",505,0.148,0.3
"Combined_vs_NP","Baseline",505,0.149,0.3
"Combined_vs_NP","Baseline",505,0.15,0.3
"Combined_vs_NP","Baseline",505,0.151,0.3022375
"Combined_vs_NP","Baseline",505,0.152,0.30635
"Combined_vs_NP","Baseline",505,0.153,0.3104625
"Combined_vs_NP","Baseline",505,0.154,0.3125
"Combined_vs_NP","Baseline",505,0.155,0.3125
"Combined_vs_NP","Baseline",505,0.156,0.3125
"Combined_vs_NP","Baseline",505,0.157,0.316666666666667
"Combined_vs_NP","Baseline",505,0.158,0.316666666666667
"Combined_vs_NP","Baseline",505,0.159,0.316666666666667
"Combined_vs_NP","Baseline",505,0.16,0.316666666666667
"Combined_vs_NP","Baseline",505,0.161,0.316666666666667
"Combined_vs_NP","Baseline",505,0.162,0.316666666666667
"Combined_vs_NP","Baseline",505,0.163,0.316666666666667
"Combined_vs_NP","Baseline",505,0.164,0.316666666666667
"Combined_vs_NP","Baseline",505,0.165,0.316666666666667
"Combined_vs_NP","Baseline",505,0.166,0.320833333333333
"Combined_vs_NP","Baseline",505,0.167,0.320833333333333
"Combined_vs_NP","Baseline",505,0.168,0.320833333333333
"Combined_vs_NP","Baseline",505,0.169,0.320833333333333
"Combined_vs_NP","Baseline",505,0.17,0.320833333333333
"Combined_vs_NP","Baseline",505,0.171,0.320833333333333
"Combined_vs_NP","Baseline",505,0.172,0.3212
"Combined_vs_NP","Baseline",505,0.173,0.322570833333333
"Combined_vs_NP","Baseline",505,0.174,0.328108333333333
"Combined_vs_NP","Baseline",505,0.175,0.329166666666667
"Combined_vs_NP","Baseline",505,0.176,0.329166666666667
"Combined_vs_NP","Baseline",505,0.177,0.329166666666667
"Combined_vs_NP","Baseline",505,0.178,0.329166666666667
"Combined_vs_NP","Baseline",505,0.179,0.329166666666667
"Combined_vs_NP","Baseline",505,0.18,0.329166666666667
"Combined_vs_NP","Baseline",505,0.181,0.329166666666667
"Combined_vs_NP","Baseline",505,0.182,0.329166666666667
"Combined_vs_NP","Baseline",505,0.183,0.329166666666667
"Combined_vs_NP","Baseline",505,0.184,0.329166666666667
"Combined_vs_NP","Baseline",505,0.185,0.329166666666667
"Combined_vs_NP","Baseline",505,0.186,0.329166666666667
"Combined_vs_NP","Baseline",505,0.187,0.329166666666667
"Combined_vs_NP","Baseline",505,0.188,0.329166666666667
"Combined_vs_NP","Baseline",505,0.189,0.329166666666667
"Combined_vs_NP","Baseline",505,0.19,0.32925
"Combined_vs_NP","Baseline",505,0.191,0.331991666666667
"Combined_vs_NP","Baseline",505,0.192,0.334733333333333
"Combined_vs_NP","Baseline",505,0.193,0.337475
"Combined_vs_NP","Baseline",505,0.194,0.3375
"Combined_vs_NP","Baseline",505,0.195,0.3375
"Combined_vs_NP","Baseline",505,0.196,0.3375
"Combined_vs_NP","Baseline",505,0.197,0.3375
"Combined_vs_NP","Baseline",505,0.198,0.3375
"Combined_vs_NP","Baseline",505,0.199,0.3375
"Combined_vs_NP","Baseline",505,0.2,0.3375
"Combined_vs_NP","Baseline",505,0.201,0.3375
"Combined_vs_NP","Baseline",505,0.202,0.3375
"Combined_vs_NP","Baseline",505,0.203,0.3375
"Combined_vs_NP","Baseline",505,0.204,0.3375
"Combined_vs_NP","Baseline",505,0.205,0.3375
"Combined_vs_NP","Baseline",505,0.206,0.3375
"Combined_vs_NP","Baseline",505,0.207,0.3375
"Combined_vs_NP","Baseline",505,0.208,0.3375
"Combined_vs_NP","Baseline",505,0.209,0.339675
"Combined_vs_NP","Baseline",505,0.21,0.341666666666667
"Combined_vs_NP","Baseline",505,0.211,0.341666666666667
"Combined_vs_NP","Baseline",505,0.212,0.341666666666667
"Combined_vs_NP","Baseline",505,0.213,0.341666666666667
"Combined_vs_NP","Baseline",505,0.214,0.341666666666667
"Combined_vs_NP","Baseline",505,0.215,0.345833333333333
"Combined_vs_NP","Baseline",505,0.216,0.35
"Combined_vs_NP","Baseline",505,0.217,0.35
"Combined_vs_NP","Baseline",505,0.218,0.35
"Combined_vs_NP","Baseline",505,0.219,0.35
"Combined_vs_NP","Baseline",505,0.22,0.35
"Combined_vs_NP","Baseline",505,0.221,0.354166666666667
"Combined_vs_NP","Baseline",505,0.222,0.354166666666667
"Combined_vs_NP","Baseline",505,0.223,0.354166666666667
"Combined_vs_NP","Baseline",505,0.224,0.354166666666667
"Combined_vs_NP","Baseline",505,0.225,0.354166666666667
"Combined_vs_NP","Baseline",505,0.226,0.354166666666667
"Combined_vs_NP","Baseline",505,0.227,0.355691666666667
"Combined_vs_NP","Baseline",505,0.228,0.358333333333333
"Combined_vs_NP","Baseline",505,0.229,0.358333333333333
"Combined_vs_NP","Baseline",505,0.23,0.366666666666667
"Combined_vs_NP","Baseline",505,0.231,0.366666666666667
"Combined_vs_NP","Baseline",505,0.232,0.3694
"Combined_vs_NP","Baseline",505,0.233,0.370833333333333
"Combined_vs_NP","Baseline",505,0.234,0.370833333333333
"Combined_vs_NP","Baseline",505,0.235,0.370833333333333
"Combined_vs_NP","Baseline",505,0.236,0.370833333333333
"Combined_vs_NP","Baseline",505,0.237,0.370833333333333
"Combined_vs_NP","Baseline",505,0.238,0.370833333333333
"Combined_vs_NP","Baseline",505,0.239,0.370833333333333
"Combined_vs_NP","Baseline",505,0.24,0.370833333333333
"Combined_vs_NP","Baseline",505,0.241,0.370833333333333
"Combined_vs_NP","Baseline",505,0.242,0.371325
"Combined_vs_NP","Baseline",505,0.243,0.372695833333333
"Combined_vs_NP","Baseline",505,0.244,0.376366666666667
"Combined_vs_NP","Baseline",505,0.245,0.379166666666667
"Combined_vs_NP","Baseline",505,0.246,0.379166666666667
"Combined_vs_NP","Baseline",505,0.247,0.379166666666667
"Combined_vs_NP","Baseline",505,0.248,0.383333333333333
"Combined_vs_NP","Baseline",505,0.249,0.383333333333333
"Combined_vs_NP","Baseline",505,0.25,0.385416666666667
"Combined_vs_NP","Baseline",505,0.251,0.391886111111111
"Combined_vs_NP","Baseline",505,0.252,0.3928
"Combined_vs_NP","Baseline",505,0.253,0.393713888888889
"Combined_vs_NP","Baseline",505,0.254,0.394627777777778
"Combined_vs_NP","Baseline",505,0.255,0.395541666666667
"Combined_vs_NP","Baseline",505,0.256,0.3977
"Combined_vs_NP","Baseline",505,0.257,0.400220833333333
"Combined_vs_NP","Baseline",505,0.258,0.401591666666667
"Combined_vs_NP","Baseline",505,0.259,0.4029625
"Combined_vs_NP","Baseline",505,0.26,0.404166666666667
"Combined_vs_NP","Baseline",505,0.261,0.404166666666667
"Combined_vs_NP","Baseline",505,0.262,0.404716666666667
"Combined_vs_NP","Baseline",505,0.263,0.405630555555556
"Combined_vs_NP","Baseline",505,0.264,0.406544444444444
"Combined_vs_NP","Baseline",505,0.265,0.407458333333333
"Combined_vs_NP","Baseline",505,0.266,0.408333333333333
"Combined_vs_NP","Baseline",505,0.267,0.408333333333333
"Combined_vs_NP","Baseline",505,0.268,0.408333333333333
"Combined_vs_NP","Baseline",505,0.269,0.4125
"Combined_vs_NP","Baseline",505,0.27,0.4125
"Combined_vs_NP","Baseline",505,0.271,0.4125
"Combined_vs_NP","Baseline",505,0.272,0.4125
"Combined_vs_NP","Baseline",505,0.273,0.416022222222222
"Combined_vs_NP","Baseline",505,0.274,0.418461111111111
"Combined_vs_NP","Baseline",505,0.275,0.419375
"Combined_vs_NP","Baseline",505,0.276,0.420288888888889
"Combined_vs_NP","Baseline",505,0.277,0.420833333333333
"Combined_vs_NP","Baseline",505,0.278,0.420833333333333
"Combined_vs_NP","Baseline",505,0.279,0.420833333333333
"Combined_vs_NP","Baseline",505,0.28,0.420833333333333
"Combined_vs_NP","Baseline",505,0.281,0.420833333333333
"Combined_vs_NP","Baseline",505,0.282,0.425
"Combined_vs_NP","Baseline",505,0.283,0.425
"Combined_vs_NP","Baseline",505,0.284,0.425
"Combined_vs_NP","Baseline",505,0.285,0.425
"Combined_vs_NP","Baseline",505,0.286,0.425
"Combined_vs_NP","Baseline",505,0.287,0.425
"Combined_vs_NP","Baseline",505,0.288,0.42605
"Combined_vs_NP","Baseline",505,0.289,0.427420833333333
"Combined_vs_NP","Baseline",505,0.29,0.428791666666667
"Combined_vs_NP","Baseline",505,0.291,0.429166666666667
"Combined_vs_NP","Baseline",505,0.292,0.429166666666667
"Combined_vs_NP","Baseline",505,0.293,0.429166666666667
"Combined_vs_NP","Baseline",505,0.294,0.429166666666667
"Combined_vs_NP","Baseline",505,0.295,0.429625
"Combined_vs_NP","Baseline",505,0.296,0.432366666666667
"Combined_vs_NP","Baseline",505,0.297,0.433333333333333
"Combined_vs_NP","Baseline",505,0.298,0.433333333333333
"Combined_vs_NP","Baseline",505,0.299,0.433333333333333
"Combined_vs_NP","Baseline",505,0.3,0.45
"Combined_vs_NP","Baseline",505,0.301,0.45
"Combined_vs_NP","Baseline",505,0.302,0.45
"Combined_vs_NP","Baseline",505,0.303,0.451558333333333
"Combined_vs_NP","Baseline",505,0.304,0.454166666666667
"Combined_vs_NP","Baseline",505,0.305,0.454166666666667
"Combined_vs_NP","Baseline",505,0.306,0.454166666666667
