"meta_name","beta","pv","inf_flag","pv_adj_FWER","pv_adj_FDR","abs_beta"
"s323",0.442075608769929,0.00685117058800641,0,1,0.290765075163334,0.442075608769929
"s234",-0.369697333185098,0.00835507679323955,0,1,0.290765075163334,0.369697333185098
"s160",-0.772583034659238,0.00866138609588278,0,1,0.290765075163334,0.772583034659238
"s42",0.265502274042423,0.00870317230487597,0,1,0.290765075163334,0.265502274042423
"s36",-0.601476111528478,0.012570897110183,0,1,0.290765075163334,0.601476111528478
"s145",0.265571010634182,0.0130992356723764,0,1,0.290765075163334,0.265571010634182
"s143",-0.495615489268218,0.0135985461548361,0,1,0.290765075163334,0.495615489268218
"s90",0.327727747265806,0.0156094373671613,0,1,0.290765075163334,0.327727747265806
"s173",0.190073839662994,0.0180241640376516,0,1,0.290765075163334,0.190073839662994
"s106",-0.461686156831145,0.0187590371073119,0,1,0.290765075163334,0.461686156831145
"s175",0.282325545936869,0.0408733533990906,0,1,0.485665914726172,0.282325545936869
"s48",-0.342347562733763,0.0437512496993398,0,1,0.485665914726172,0.342347562733763
"s150",0.207206239669839,0.0501251304819201,0,1,0.485665914726172,0.207206239669839
"s68",-0.599865936085641,0.0519663939878484,0,1,0.485665914726172,0.599865936085641
"s56",0.240685757831204,0.0539980697212485,0,1,0.485665914726172,0.240685757831204
"s232",-0.434179411925988,0.0562533352183963,0,1,0.485665914726172,0.434179411925988
"s51",-0.356930490356897,0.0569020361275434,0,1,0.485665914726172,0.356930490356897
"s168",-0.338390099017103,0.0578690675463552,0,1,0.485665914726172,0.338390099017103
"s114",-0.401670333341127,0.0595332411599824,0,1,0.485665914726172,0.401670333341127
"s31",-0.295727248627643,0.0650243104857239,0,1,0.50393840626436,0.295727248627643
"s28",0.267510079478256,0.0789936283700339,0,1,0.554086936930756,0.267510079478256
"s126",-0.380724957658588,0.0802197802015234,0,1,0.554086936930756,0.380724957658588
"s165",0.211867755185832,0.0822193519316605,0,1,0.554086936930756,0.211867755185832
"s70",0.2199672809236,0.0935300978176651,0,1,0.603310028945166,0.2199672809236
"s2",0.299437266952269,0.104468444931405,0,1,0.603310028945166,0.299437266952269
"s118",-0.349704486783284,0.106870548728113,0,1,0.603310028945166,0.349704486783284
"s45",-0.290883894420588,0.110523197228834,0,1,0.603310028945166,0.290883894420588
"s142",-0.27254557633479,0.111291028864902,0,1,0.603310028945166,0.27254557633479
"s84",-0.283552893182399,0.115449680596076,0,1,0.603310028945166,0.283552893182399
"s39",0.167330088367068,0.116769683021645,0,1,0.603310028945166,0.167330088367068
"s243",-0.522293718751691,0.130852657627723,0,1,0.646572968594508,0.522293718751691
"s117",0.325094267567283,0.13948608061395,0,1,0.646572968594508,0.325094267567283
"s286",0.361728928314821,0.142901321254538,0,1,0.646572968594508,0.361728928314821
"s27",0.215893005411162,0.143621998312527,0,1,0.646572968594508,0.215893005411162
"s15",-0.32032652900122,0.146000347747147,0,1,0.646572968594508,0.32032652900122
"s65",-0.251521468961369,0.160879788642354,0,1,0.669709988215999,0.251521468961369
"s105",0.18232869267544,0.172009630094682,0,1,0.669709988215999,0.18232869267544
"s88",0.169426137391521,0.173028787520901,0,1,0.669709988215999,0.169426137391521
"s13",0.198243899049022,0.178048969966231,0,1,0.669709988215999,0.198243899049022
"s125",0.260769340918374,0.17872821009324,0,1,0.669709988215999,0.260769340918374
"s224",-0.303151325432412,0.192242384625697,0,1,0.669709988215999,0.303151325432412
"s54",-0.18012340226498,0.197179653472177,0,1,0.669709988215999,0.18012340226498
"s3",-0.197331315817844,0.207613828950544,0,1,0.669709988215999,0.197331315817844
"s47",0.18727054976821,0.214097223095133,0,1,0.669709988215999,0.18727054976821
"s189",-0.291072529056233,0.214603594180287,0,1,0.669709988215999,0.291072529056233
"s4",-0.247930472905506,0.21622721290163,0,1,0.669709988215999,0.247930472905506
"s238",0.352322745463378,0.219008124273218,0,1,0.669709988215999,0.352322745463378
"s246",-0.225373532097807,0.219535417395871,0,1,0.669709988215999,0.225373532097807
"s80",-0.204368327247536,0.22269747235843,0,1,0.669709988215999,0.204368327247536
"s213",-0.374577942189247,0.22748485012883,0,1,0.669709988215999,0.374577942189247
"s16",-0.198741833420496,0.227676385281592,0,1,0.669709988215999,0.198741833420496
"s156",0.147661988309688,0.228811532432444,0,1,0.669709988215999,0.147661988309688
"s178",0.195081289683669,0.229976523948021,0,1,0.669709988215999,0.195081289683669
"s8",-0.21933434199053,0.23344860228438,0,1,0.669709988215999,0.21933434199053
"s129",0.176482398277716,0.241052541957499,0,1,0.669709988215999,0.176482398277716
"s159",-0.216169111139163,0.243670036222938,0,1,0.669709988215999,0.216169111139163
"s22",0.18085138939504,0.246280447279432,0,1,0.669709988215999,0.18085138939504
"s50",0.203578126949273,0.262928477449069,0,1,0.702653689734581,0.203578126949273
"s93",0.152661263070434,0.271861365568162,0,1,0.708262471478412,0.152661263070434
"s17",-0.216030710825972,0.280641630686452,0,1,0.708262471478412,0.216030710825972
"s138",-0.136542006070166,0.283007701780443,0,1,0.708262471478412,0.136542006070166
"s280",-0.135946990966914,0.283304988591365,0,1,0.708262471478412,0.135946990966914
"s252",-0.177451949146601,0.289252812936907,0,1,0.711653746114613,0.177451949146601
"s38",-0.162247212048177,0.303097719030011,0,1,0.712221847937004,0.162247212048177
"s110",0.298604840808261,0.303218139407316,0,1,0.712221847937004,0.298604840808261
"s10",0.172169638983012,0.309654335023483,0,1,0.712221847937004,0.172169638983012
"s1",-0.186151525921092,0.317214403074132,0,1,0.712221847937004,0.186151525921092
"s104",-0.148948265618241,0.323963419812036,0,1,0.712221847937004,0.148948265618241
"s79",0.110615615822735,0.32954686725531,0,1,0.712221847937004,0.110615615822735
"s23",-0.215534758099854,0.337825202629064,0,1,0.712221847937004,0.215534758099854
"s86",0.207381452521655,0.339154836547428,0,1,0.712221847937004,0.207381452521655
"s281",-0.132161132093417,0.339501594075859,0,1,0.712221847937004,0.132161132093417
"s92",0.0989207077879744,0.34137501850469,0,1,0.712221847937004,0.0989207077879744
"s135",0.121197145934181,0.345812476879779,0,1,0.712221847937004,0.121197145934181
"s44",0.0912957870142061,0.346009114935907,0,1,0.712221847937004,0.0912957870142061
"s37",0.108152572442518,0.35294984058395,0,1,0.712221847937004,0.108152572442518
"s290",-0.198890287410862,0.36053987803261,0,1,0.712221847937004,0.198890287410862
"s25",0.133160944976288,0.364971019777016,0,1,0.712221847937004,0.133160944976288
"s343",-0.125864955092855,0.369188476953575,0,1,0.712221847937004,0.125864955092855
"s59",0.118317955613254,0.371492406842451,0,1,0.712221847937004,0.118317955613254
"s74",0.125440248766416,0.372193352792886,0,1,0.712221847937004,0.125440248766416
"s19",0.16018522466754,0.381387638329994,0,1,0.712607514292535,0.16018522466754
"s26",0.133829501994253,0.381589830234067,0,1,0.712607514292535,0.133829501994253
"s140",-0.136433366957578,0.392434327224393,0,1,0.715145853033213,0.136433366957578
"s43",-0.151795743312335,0.3986957156927,0,1,0.715145853033213,0.151795743312335
"s230",-0.14446604085662,0.401290775733385,0,1,0.715145853033213,0.14446604085662
"s103",-0.187469112952459,0.404561979496154,0,1,0.715145853033213,0.187469112952459
"s95",-0.170259053899142,0.406448214666021,0,1,0.715145853033213,0.170259053899142
"s96",0.150317205329277,0.410632134967458,0,1,0.715145853033213,0.150317205329277
"s147",-0.142229061642843,0.415330097693391,0,1,0.715290723805285,0.142229061642843
"s162",0.134984673561733,0.431456504691051,0,1,0.728184013382755,0.134984673561733
"s29",0.100216964231237,0.43221244665299,0,1,0.728184013382755,0.100216964231237
"s209",0.112038516506874,0.448238184134193,0,1,0.741503035743393,0.112038516506874
"s157",-0.0786095680035335,0.449685711999219,0,1,0.741503035743393,0.0786095680035335
"s152",0.131893926887412,0.47215375976882,0,1,0.770356134359654,0.131893926887412
"s231",-0.169483657655183,0.486199617374589,0,1,0.785009798886055,0.169483657655183
"s11",0.116107110046463,0.499764179175474,0,1,0.794006883644886,0.116107110046463
"s148",-0.191483676129035,0.502017255465799,0,1,0.794006883644886,0.191483676129035
"s85",-0.121402573540167,0.513514227093596,0,1,0.803986921207145,0.121402573540167
"s49",-0.0974962718179085,0.540196267047239,0,1,0.822410437953329,0.0974962718179085
"s76",0.116310384954332,0.543210817790258,0,1,0.822410437953329,0.116310384954332
"s414",-0.0979084072553126,0.545891593750004,0,1,0.822410437953329,0.0979084072553126
"s141",-0.107538653081672,0.54650500070447,0,1,0.822410437953329,0.107538653081672
"s154",-0.0851211518897463,0.560840639246708,0,1,0.832547731162916,0.0851211518897463
"s33",0.0872630284056892,0.563983946916814,0,1,0.832547731162916,0.0872630284056892
"s201",-0.0737637633059549,0.573744282740248,0,1,0.834236936528518,0.0737637633059549
"s12",0.0984558265326638,0.576133310576459,0,1,0.834236936528518,0.0984558265326638
"s177",-0.176376053370748,0.581274768677935,0,1,0.834236936528518,0.176376053370748
"s212",-0.0688526680572628,0.597813914308912,0,1,0.850102355209921,0.0688526680572628
"s453",-0.0964092750952621,0.603979882233365,0,1,0.851062561328833,0.0964092750952621
"s81",0.0804142048721031,0.638967638039178,0,1,0.888479241075751,0.0804142048721031
"s267",0.101067272641014,0.64199790322893,0,1,0.888479241075751,0.101067272641014
"s55",-0.124246130162325,0.661053790538283,0,1,0.893472946861826,0.124246130162325
"s60",0.0654033927759648,0.667167384199094,0,1,0.893472946861826,0.0654033927759648
"s32",-0.0653836513434366,0.686150152248782,0,1,0.893472946861826,0.0653836513434366
"s52",0.072759422430675,0.692012041770438,0,1,0.893472946861826,0.072759422430675
"s130",0.077045199883337,0.697527866220563,0,1,0.893472946861826,0.077045199883337
"s64",0.0476451794448793,0.699892493174581,0,1,0.893472946861826,0.0476451794448793
"s73",-0.0682402288672807,0.704616767773423,0,1,0.893472946861826,0.0682402288672807
"s35",0.0661279650747557,0.711626751059242,0,1,0.893472946861826,0.0661279650747557
"s34",-0.0523210094519144,0.728786502181379,0,1,0.893472946861826,0.0523210094519144
"s57",0.0536742144718149,0.731094597963879,0,1,0.893472946861826,0.0536742144718149
"s413",-0.0798065747587917,0.732813973276529,0,1,0.893472946861826,0.0798065747587917
"s20",0.0601325749990208,0.734595818186041,0,1,0.893472946861826,0.0601325749990208
"s75",0.0500048347157176,0.744658479177889,0,1,0.893472946861826,0.0500048347157176
"s82",0.0524232372066413,0.74615998130264,0,1,0.893472946861826,0.0524232372066413
"s24",-0.0510288211724258,0.747467931435371,0,1,0.893472946861826,0.0510288211724258
"s240",-0.0384772007433029,0.769389939446021,0,1,0.893472946861826,0.0384772007433029
"s101",0.0516029969920991,0.772262015852033,0,1,0.893472946861826,0.0516029969920991
"s194",-0.0427906581970027,0.774262668937361,0,1,0.893472946861826,0.0427906581970027
"s98",-0.0323431171083338,0.781763912888132,0,1,0.893472946861826,0.0323431171083338
"s30",-0.0427282573326971,0.782873460025259,0,1,0.893472946861826,0.0427282573326971
"s69",-0.0425158403904296,0.784495549284641,0,1,0.893472946861826,0.0425158403904296
"s113",0.0397386008376376,0.787379493201187,0,1,0.893472946861826,0.0397386008376376
"s421",-0.0618718001081803,0.790584098285294,0,1,0.893472946861826,0.0618718001081803
"s40",0.0551003156315489,0.802564426329363,0,1,0.893472946861826,0.0551003156315489
"s63",0.0349060907133825,0.806430086976668,0,1,0.893472946861826,0.0349060907133825
"s9",-0.0464360449532675,0.812144371909741,0,1,0.893472946861826,0.0464360449532675
"s137",0.0351149377876706,0.813915263546317,0,1,0.893472946861826,0.0351149377876706
"s72",-0.0357623464600051,0.816308735278458,0,1,0.893472946861826,0.0357623464600051
"s46",0.0281958856769609,0.81880268195641,0,1,0.893472946861826,0.0281958856769609
"s14",0.039565695509125,0.826927127553281,0,1,0.893472946861826,0.039565695509125
"s21",0.0237108362990129,0.827767096718312,0,1,0.893472946861826,0.0237108362990129
"s66",-0.029576944405118,0.8300651893426,0,1,0.893472946861826,0.029576944405118
"s282",0.0243179167388446,0.852358573262122,0,1,0.911141923142268,0.0243179167388446
"s434",-0.0239039865692403,0.864388523329771,0,1,0.917672747370647,0.0239039865692403
"s61",0.0208844262869519,0.874411255224385,0,1,0.918469456458888,0.0208844262869519
"s6",0.0218463850090117,0.876990190683325,0,1,0.918469456458888,0.0218463850090117
"s71",0.010451264576306,0.935935665126923,0,1,0.971360565508023,0.010451264576306
"s83",0.0126449791165875,0.94340491870473,0,1,0.971360565508023,0.0126449791165875
"s265",-0.00847959512447346,0.949515103850669,0,1,0.971360565508023,0.00847959512447346
"s18",-0.0121511477313033,0.952560038433674,0,1,0.971360565508023,0.0121511477313033
"s239",0.00570599707823553,0.974179144743763,0,1,0.980934906708509,0.00570599707823553
"s77",-0.00509935633262669,0.974606294407164,0,1,0.980934906708509,0.00509935633262669
"s146",-0.00281660121887711,0.992179890442463,0,1,0.992179890442463,0.00281660121887711
