"meta_name","beta","pv","inf_flag","pv_adj_FWER","pv_adj_FDR","abs_beta"
"s29",0.367713906047362,0.00206380987278327,0,0.319890530281407,0.319890530281407,0.367713906047362
"s110",0.340702124360298,0.00582557960745794,0,0.902964839155981,0.33836853900832,0.340702124360298
"s33",0.39229545342443,0.00930064214876084,0,1,0.33836853900832,0.39229545342443
"s68",-0.544320362806088,0.00944142855147138,0,1,0.33836853900832,0.544320362806088
"s148",0.361655333541977,0.0109151141615587,0,1,0.33836853900832,0.361655333541977
"s106",-0.508975155307226,0.0241806762375292,0,1,0.600804652645118,0.508975155307226
"s224",-0.605498314626953,0.0336134010666109,0,1,0.600804652645118,0.605498314626953
"s142",0.269778761651492,0.037695885050392,0,1,0.600804652645118,0.269778761651492
"s160",-0.425398930854342,0.0387930118838851,0,1,0.600804652645118,0.425398930854342
"s137",0.259214814770601,0.0393457835811097,0,1,0.600804652645118,0.259214814770601
"s20",0.325334119248111,0.0441855685355034,0,1,0.600804652645118,0.325334119248111
"s118",-0.412726047019997,0.0465139085918801,0,1,0.600804652645118,0.412726047019997
"s39",0.282627766453126,0.0606869923777724,0,1,0.723575678350363,0.282627766453126
"s130",-0.418203218573612,0.0708296637454382,0,1,0.784185562895923,0.418203218573612
"s434",-0.330360323024689,0.0879441293597618,0,1,0.857805502184074,0.330360323024689
"s52",0.290987077731934,0.0946833711605114,0,1,0.857805502184074,0.290987077731934
"s1",0.192944550188669,0.0998792189036221,0,1,0.857805502184074,0.192944550188669
"s61",-0.261584912113489,0.102859967128248,0,1,0.857805502184074,0.261584912113489
"s168",-0.298060642549093,0.11554412502004,0,1,0.857805502184074,0.298060642549093
"s173",0.220664136355952,0.116300162476784,0,1,0.857805502184074,0.220664136355952
"s114",-0.30465711859512,0.12023698002127,0,1,0.857805502184074,0.30465711859512
"s281",-0.176759877729435,0.121753039019675,0,1,0.857805502184074,0.176759877729435
"s26",0.184945802743451,0.134748921392814,0,1,0.871656596548135,0.184945802743451
"s138",-0.251349829142138,0.137809856548018,0,1,0.871656596548135,0.251349829142138
"s22",0.246148926370866,0.149561093244872,0,1,0.871656596548135,0.246148926370866
"s104",-0.304990911065998,0.158871208227838,0,1,0.871656596548135,0.304990911065998
"s140",0.188927085280209,0.1598871092475,0,1,0.871656596548135,0.188927085280209
"s65",-0.280784766607497,0.172772014685506,0,1,0.871656596548135,0.280784766607497
"s126",-0.221644670865214,0.173162160243894,0,1,0.871656596548135,0.221644670865214
"s240",-0.231185661308421,0.17856569938193,0,1,0.871656596548135,0.231185661308421
"s252",-0.223768803871258,0.186373667112031,0,1,0.871656596548135,0.223768803871258
"s290",-0.220001742747709,0.187576529443647,0,1,0.871656596548135,0.220001742747709
"s43",0.20124488157881,0.187945301318775,0,1,0.871656596548135,0.20124488157881
"s165",0.144756044215834,0.191819579136355,0,1,0.871656596548135,0.144756044215834
"s57",0.156262708194254,0.20120676903662,0,1,0.871656596548135,0.156262708194254
