"outcome","ft_type","seed_val","fpr","sens"
"PE_vs_NP","Baseline",303,0.12,0.2
"PE_vs_NP","Baseline",303,0.121,0.2
"PE_vs_NP","Baseline",303,0.122,0.2
"PE_vs_NP","Baseline",303,0.123,0.2
"PE_vs_NP","Baseline",303,0.124,0.2
"PE_vs_NP","Baseline",303,0.125,0.2
"PE_vs_NP","Baseline",303,0.126,0.2
"PE_vs_NP","Baseline",303,0.127,0.2
"PE_vs_NP","Baseline",303,0.128,0.2
"PE_vs_NP","Baseline",303,0.129,0.2
"PE_vs_NP","Baseline",303,0.13,0.2
"PE_vs_NP","Baseline",303,0.131,0.2
"PE_vs_NP","Baseline",303,0.132,0.2
"PE_vs_NP","Baseline",303,0.133,0.2
"PE_vs_NP","Baseline",303,0.134,0.2
"PE_vs_NP","Baseline",303,0.135,0.2
"PE_vs_NP","Baseline",303,0.136,0.2
"PE_vs_NP","Baseline",303,0.137,0.2
"PE_vs_NP","Baseline",303,0.138,0.2
"PE_vs_NP","Baseline",303,0.139,0.2
"PE_vs_NP","Baseline",303,0.14,0.2
"PE_vs_NP","Baseline",303,0.141,0.2
"PE_vs_NP","Baseline",303,0.142,0.2
"PE_vs_NP","Baseline",303,0.143,0.2
"PE_vs_NP","Baseline",303,0.144,0.2
"PE_vs_NP","Baseline",303,0.145,0.2
"PE_vs_NP","Baseline",303,0.146,0.2
"PE_vs_NP","Baseline",303,0.147,0.2
"PE_vs_NP","Baseline",303,0.148,0.20256
"PE_vs_NP","Baseline",303,0.149,0.206666666666667
"PE_vs_NP","Baseline",303,0.15,0.206666666666667
"PE_vs_NP","Baseline",303,0.151,0.206666666666667
"PE_vs_NP","Baseline",303,0.152,0.213333333333333
"PE_vs_NP","Baseline",303,0.153,0.213333333333333
"PE_vs_NP","Baseline",303,0.154,0.213333333333333
"PE_vs_NP","Baseline",303,0.155,0.213333333333333
"PE_vs_NP","Baseline",303,0.156,0.226666666666667
"PE_vs_NP","Baseline",303,0.157,0.233333333333333
"PE_vs_NP","Baseline",303,0.158,0.233333333333333
"PE_vs_NP","Baseline",303,0.159,0.233333333333333
"PE_vs_NP","Baseline",303,0.16,0.233333333333333
